about,address,category,city,com_id,company,country,employees,reference,sector,turnover,website,zipcode
,"
Axis Bank Limited, Corporate Office, Bombay Dyeing Mills Compound
","
Other
",Mumbai,180,Axis Bank,India,"
>5000
","
Self
","
Others
",,https://www.axisbank.com/,400025
,"
Axis Bank Limited, Corporate Office, Bombay Dyeing Mills Compound
","
Other
",Mumbai,180,Axis Bank,India,"
>5000
","
Self
","
Others
",,https://www.axisbank.com/,400025
,"
Axis Bank Limited, Corporate Office, Bombay Dyeing Mills Compound
","
Other
",Mumbai,180,Axis Bank,India,"
>5000
","
Self
","
Others
",,https://www.axisbank.com/,400025
"
GE Digital connects streams of machine data to powerful analytics, providing Industrial companies with valuable insights to manage assets and operations more efficiently. World-class talent and software capabilities driving big gains in productivity, availability and longevity. www.ge.com/digital GE (NYSE: GE) is the worlds Digital Industrial Company, transforming industry with software-defined machines and solutions that are connected, responsive and predictive. GE is organized around a global exchange of knowledge, the ""GE Store,"" through which each business shares and accesses the same technology, markets, structure and intellect. Each invention further fuels innovation and application across our industrial sectors. With people, services, technology and scale, GE delivers better outcomes for customers by speaking the language of industry GE Digital is helping to transform GE itself to become the world's premier digital industrial company. We'll help GE and our customers drive greater asset reliability, lower their operating costs, reduce risk and accelerate operational performance with our Predix industrial cloud platform and software solutions. The success of diversity at GE reflects the integrity of our leadership and builds a strong foundation for future leaders to continue our tradition of inclusiveness. By bringing individuals, cultures and ideas together we build a stronger company and a better world Mission: GE will be the worlds Digital Industrial Company, transforming industry with software-defined machines and solutions that are connected, responsive and predictive. Each digital invention further fuels innovation and application across our industrial sectors. With people, services, technology and scale, GE delivers better outcomes for customers by speaking the language of industry
","
Prestige Shantineketan Tech Park Thigalarapalya, Hoodi
","
MNC
",Bengaluru,585,GE Digital,India,"
>5000
","
Self
","
IT/Software
","
>5000
",https://www.ge.com/digital/,560067
"
General Electric Company is an American multinational conglomerate incorporated in New York City and headquartered in Boston. As of 2018, the company operates through the following segments: aviation, healthcare, power, renewable energy, digital industry, additive manufacturing, venture capital and finance, lighting, and oil and gas.
","
JFWTC,
","
Private
",Bangalore,100,GE,India,"
>5000
","
Self
","
Health Care
",,www.ge.com,560066
"
ICICI Bank Limited is an Indian multinational banking and financial services company headquartered in Mumbai, Maharashtra with its registered office in Vadodara, Gujarat. As of 2018, ICICI Bank is the second largest bank in India in terms of assets and market capitalisation.
","
ICICI Bank Tower, Ground Floor, Bandra Kurla Complex-bandra East, Mumbai - 400051
","
Private
",Mumbai,465,ICICI Bank,Maharashtra,"
>5000
","
Contacted by CDC
","
Finance
","
>5000
",https://www.icicibank.com/,400051
"
Morgan Stanley is a financial services corporation that, through its subsidiaries and affiliates, advises, and originates, trades, manages and distributes capital for governments, institutions and individuals. The company operates in three business segments: Institutional Securities, Wealth Management, and Investment Management.
","
Athena, Bldg. No. 5, Malad, Goregaon (W), Mindspace, Sector 30
","
MNC
",Mumbai,167,Morgan Stanley,India,"
>5000
","
Contacted by CDC
","
Finance
","
>5000
",www.morganstanley.com,4000090
"
Ola is Indias largest mobility platform and one of the worlds largest ride-hailing companies, serving 250+ cities across India, Australia, New Zealand, and the UK. The Ola app offers mobility solutions by connecting customers to drivers and a wide range of vehicles across bikes, auto-rickshaws, metered taxis, and cabs, enabling convenience and transparency for hundreds of millions of consumers and over 1.5 million driver-partners.

Olas core mobility offering in India is supplemented by its electric-vehicle arm, Ola Electric; Indias largest fleet management business, Ola Fleet Technologies and Ola Skilling, that aims to enable millions of livelihood opportunities for India's youth. With its acquisition of Ridlr, Indias leading public transportation app and investment in Vogo, a dockless scooter sharing solution, Ola is looking to build mobility for the next billion Indians. Ola also extends its consumer offerings like micro-insurance and credit led payments through Ola Financial Services and a range of owned food brands through Indias largest network of kitchens under its Food business. 

Ola was founded in 2011 by Bhavish Aggarwal and Ankit Bhati with a mission to build mobility for a billion people.
","
ANI Technologies Pvt. Ltd, 5th Floor, Maruthi Infotech Centre, Embassy Golf Links, Domlur, Bangalore 560071
","
StartUp
",Bangalore,274,ANI Technologies,India,"
>5000
","
Self
","
Others
",,www.olacabs.com,560071
"
Ola is Indias largest mobility platform and one of the worlds largest ride-hailing companies, serving 250+ cities across India, Australia, New Zealand, and the UK. The Ola app offers mobility solutions by connecting customers to drivers and a wide range of vehicles across bikes, auto-rickshaws, metered taxis, and cabs, enabling convenience and transparency for hundreds of millions of consumers and over 1.5 million driver-partners.

Olas core mobility offering in India is supplemented by its electric-vehicle arm, Ola Electric; Indias largest fleet management business, Ola Fleet Technologies and Ola Skilling, that aims to enable millions of livelihood opportunities for India's youth. With its acquisition of Ridlr, Indias leading public transportation app and investment in Vogo, a dockless scooter sharing solution, Ola is looking to build mobility for the next billion Indians. Ola also extends its consumer offerings like micro-insurance and credit led payments through Ola Financial Services and a range of owned food brands through Indias largest network of kitchens under its Food business. 

Ola was founded in 2011 by Bhavish Aggarwal and Ankit Bhati with a mission to build mobility for a billion people.
","
ANI Technologies Pvt. Ltd, 5th Floor, Maruthi Infotech Centre, Embassy Golf Links, Domlur, Bangalore 560071
","
StartUp
",Bangalore,274,ANI Technologies,India,"
>5000
","
Self
","
Others
",,www.olacabs.com,560071
"
Ola is Indias largest mobility platform and one of the worlds largest ride-hailing companies, serving 250+ cities across India, Australia, New Zealand, and the UK. The Ola app offers mobility solutions by connecting customers to drivers and a wide range of vehicles across bikes, auto-rickshaws, metered taxis, and cabs, enabling convenience and transparency for hundreds of millions of consumers and over 1.5 million driver-partners.

Olas core mobility offering in India is supplemented by its electric-vehicle arm, Ola Electric; Indias largest fleet management business, Ola Fleet Technologies and Ola Skilling, that aims to enable millions of livelihood opportunities for India's youth. With its acquisition of Ridlr, Indias leading public transportation app and investment in Vogo, a dockless scooter sharing solution, Ola is looking to build mobility for the next billion Indians. Ola also extends its consumer offerings like micro-insurance and credit led payments through Ola Financial Services and a range of owned food brands through Indias largest network of kitchens under its Food business. 

Ola was founded in 2011 by Bhavish Aggarwal and Ankit Bhati with a mission to build mobility for a billion people.
","
ANI Technologies Pvt. Ltd, 5th Floor, Maruthi Infotech Centre, Embassy Golf Links, Domlur, Bangalore 560071
","
StartUp
",Bangalore,274,ANI Technologies,India,"
>5000
","
Self
","
Others
",,www.olacabs.com,560071
,"
Office No 701 - 7th Floor, Building No 6 - Commerzone, Survey No 144/145 - Yerawada
","
Private
",Pune,102,Schlumberger,India,"
>5000
","
Alumini Contact
","
IT/Software
","
>5000
",https://www.slb.com/,411006
,"
Sony World Signal, SJR Koramangala, Plot 36, 1st floor, 100 Feet Rd, Venkappa Garden, Koramangala, Bengaluru, Karnataka 560095
","
StartUp
",Bangalore,703,Embibe.com (Indiavidual Learning),India,,"
Self
","
Teaching / education
",,embibe.com,560095
,"
Ernst & Young Golf View Corporate Tower B, Golf Course Road, Sector 42,Gurugram, 122002, Haryana , India
","
Private,MNC
",Gurgaon,414,EY India,India,,"
Self
","
Core Engineering,IT/Software,Analytics,Consulting,Professional Services
",,https://www.ey.com/in/en/home,122001
"
Honeywell International Inc. is an American multinational conglomerate company that produces commercial and consumer products, engineering services and aerospace systems. The company operates four business units, known as Strategic Business Units  Honeywell Aerospace, Home and Building Technologies (HBT), Safety and Productivity Solutions (SPS), and Honeywell Performance Materials and Technologies.
","
Campus 2
","
MNC
",Bangalore,111,Honeywell,India,"
>5000
","
Self
","
IT/Software
","
Between 50 to 100
",https://www.honeywell.com/,560103
"
""Publicis Sapient, a part of Publicis Groupe, is purpose-designed to address todays Digital Business Transformation imperative. Weve spent nearly three decades utilizing the disruptive power of technology and ingenuity to help digitally enable our clients' business in their pursuit of next.
We bring a startup mindset and agile methods to both established companies and the public sector to unlock value in ways that delight their customers and improve their operational effectiveness. Our approach to transformation is grounded in a view of both the company and the customers simultaneously, and a unique fusing of strategy and consulting, experience and engineering with an enduring culture of problem-solving creativity.
In the space between next and now is how. And we believe that how you seize that space is everything.""
","
2870, Building Virgo, Bagmane Constellation Business Park, Outer Ring Rd, Doddanekundi, Marathahalli
","
MNC
",Bangalore,127,Publicis Sapient,India,"
>5000
","
Self
","
IT/Software,Consulting
","
>5000
",https://www.publicissapient.com/,560037
,"
Bangalore
","
MNC
",Bangalore,124,Societe Generale,India,,"
Self
","
Others
",,www.socgen.com,560 103
,"
4/1 Bannerghatta Main Road 9th Floor Tower D IBC Towers, Bhavani Nagar, S.G. Palya, Bengaluru, Karnataka 560029
","
StartUp
",Bangalore,24,Swiggy,India,"
>5000
","
Self
","
Ecommerce
",,https://www.swiggy.com/,560029
"
Expert advice. Wealth management. Investment
banking. Asset management. Retail banking in
Switzerland. And all the background support.
Thats what we do. We work across continents.
Here in Pune, Mumbai and Hyderabad, we play an
important role in a leading global financial services
company
","
Unit No. 1201, 1301, 1401, Building No 2,Gigaplex, I.T.5, MIDC Knowledge Park, T.T.C Industrial Area, Airoli West, Navi Mumbai - 400708
","
MNC
",Navi Mumbai,53,UBS,India,"
>5000
","
Contacted by CDC
","
Finance
","
>5000
",www.UBS.com,400708
,"
Capillary Technologies 31/9, Krimson Square, 1st Floor Roopena Agrahara, Hosur Main Road 
","
MNC
",Bangalore,271,Capillary Technologies,India,"
Between 500 to 1000
","
Self
","
IT/Software
",,www.capillarytech.com,560068
,"
Sony World Signal, SJR Koramangala, Plot 36, 1st floor, 100 Feet Rd, Venkappa Garden, Koramangala, Bengaluru, Karnataka 560095
","
StartUp
",Bangalore,703,Embibe.com (Indiavidual Learning),India,,"
Self
","
Teaching / education
",,embibe.com,560095
,"
Sony World Signal, SJR Koramangala, Plot 36, 1st floor, 100 Feet Rd, Venkappa Garden, Koramangala, Bengaluru, Karnataka 560095
","
StartUp
",Bangalore,703,Embibe.com (Indiavidual Learning),India,,"
Self
","
Teaching / education
",,embibe.com,560095
,"
5th Floor Tower 3, Equinox Business Park Kurla West
","
MNC
",Mumbai,336,Experian,India,,"
Self
","
Finance,Consulting
",,http://www.experian.in/,400070
"
Ernst & Young is a multinational professional services firm headquartered in London, England, United Kingdom. EY is one of the largest professional services firms in the world. Along with Deloitte, KPMG and PricewaterhouseCoopers, EY is considered one of the Big Four accounting firms.
","
3, Swamy Vivekananda Rd, Sadanandanagar, Bennigana Halli, Bengaluru, Karnataka 560016
","
MNC
",Bangalore,620,EY GDS,India,"
Between 1000 to 5000
","
Self
","
Professional Services
","
Between 1000 to 5000
",https://www.ey.com/en_gl,560016
,"
Naman Chambers, G Block Rd, Opposite Dena Bank, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051
","
Private
",Mumbai,723,IDFC First Bank,India,"
>5000
","
Self
","
Finance
",,https://www.idfcfirstbank.com/,400051
"
Konica Minolta, Inc. was originally founded as a camera and photographic film manufacturer.
Since our foundation, we have developed and refined our core technologies such as imaging, materials, optics, and nanofabrication.
We have been expanding its business in various fields including office service, healthcare business, planetarium, and so on.
We provide customers with solutions and services in more than 150 countries, and more than 80% of its sales are generated overseas.
We are the digital company which raises and solves customer's and social issues by utilizing our core technologies and IoT technologies.

[Our Business Domain]
■Office Business（Office Service, MFP, etc）
■Commercial and Industrial Printing (Industrial inkjet printers, etc.)
■Healthcare Business（Medical equipment, Medical measuring instruments, etc）
■Optical Systems for Industrial Use(Measuring instruments, lenses for industrial and professional use)
■Materials and Components Business（Inductrial film materials、Electoronic materials, etc）
■Planetarium Business
","
JP Tower, 2-7-2, Marunouchi, Chiyoda-ku, Tokyo, 100-7015
","
MNC
",Tokyo,513,Konica Minolta,Japan,"
>5000
","
Self
","
IT/Software
","
>5000
",https://www.konicaminolta.jp/about/recruit/stu/index.html,1007015
"
www.jio.com
","
Relaince Corporate Park, Thane Belapur road, Ghansoli, Navi mumbai, Thane, Maharashtra
","
Private
",Navi Mumbai,461,Reliance Jio Infocom Limited,India,"
>5000
","
Self
","
IT/Software
",,www.jio.com,400709
"
■Overview
Making Reuse a common word to the world.
Our idea of Reuse is not that you sell your goods because you need cash, but our idea is to connect to someone who in-need of your most valued good. That way, you can invest something new that is truly important. When re-thinking about old Japanese culture that emphasize on passing goods from parents to children, then grandchildren, how about we now think of not only from insider of family, but passing the valued good to someone who really cherish it. This is basic idea of our business. We want more and more people to understand the value of reuse, and want people to make recycle a part of their lives. That way, someday the reuse would become a common concept. We are heading to a new challenge.

■Type of Business
Sale and purchase of branded goods, precious metals, antique items. 
Develop related software products.

■Stock Exchange Listings
TSE Mothers
(Tokyo Stock Exchange:Market Of The High-growth and Emerging Stocks)

■Revenues
Consolidated：31.5 billion yen (Fiscal year ended in August 2018)
","
Shinagawa season terrace 28F, 1-2-70 Konan, Minato-ku
","
Private
",Tokyo,583,SOU Japan,Japan,,"
Self
","
IT/Software
",,https://www.ai-sou.co.jp/en/,108-0075
,"
No.1, Haddows Road,
","
Private,MNC
","Chennai, Tamilnadu",123,Standard Chartered GBS India Pvt Ltd,India,,"
Self
","
IT/Software
",,www.sc.com/gbs/in,600036
"
We are the flagship technology consulting and solutions company of The Chatterjee Group, a multi-billion dollar portfolio of corporations. This relationship empowers us with access to global talent, subject matter expertise, and an impressive array of over 1,000 digital minds.

 

Our clients range from major global brands and large government entities, to small and mid-sized companies; with a recognizable roster of enterprise logos.We differentiate through such things as: deep systems and sectoral knowledge, acute agility, impeccable quality, and ready ease of doing business.Our mantra is simple: Velocity to Value  transformation acceleration for the digital enterprise. We deliver rapid, measurable ROI through relentless innovation. Whether you are setting strategy, ready for execution, or encountering operational drag, TCG Digital brings to bear talent, solutions, and highly performant platforms to catapult your business to successful, sustainable disruption.
","
Bengal Intelligent ParkBuilding-Omega, 16th Floor, Block  EP & GPSector  V Saltlake, Kolkata 700 091, India
","
MNC
",Kolkata,212,TCG Digital Solutions Pvt Ltd,India,"
Between 500 to 1000
","
Self
","
IT/Software,Analytics,Consulting
",,https://www.tcgdigital.com/,700091
"
We are an insur-tech platform with the largest agent network for multi-brand insurance distribution
","
002, Ground Floor, Prime Corporate Park, Near ITC Maratha, Sahar Road, Andheri East, Mumbai - 400 099.
","
StartUp
",Mumbai,568,Turtlemint,India,,"
Self
","
IT/Software
",,www.turtlemint.com,400099
"
About Udaan:
UDAAN is about making business easy in India, about making B2B commerce convenient and efficient. We believe B2B is the new B2C in India.
India has 50m+ SMBs, who form core of Indian economy and society. They are the entrepreneurial pulse of India. We believe internet is a great equalizing platform and aspire to bring our energies together in the bringing power of Internet to these millions of entrepreneurs.
At Udaan we are looking to create a fundamentally disruptive value proposition for small and medium businesses across India. We are a B2B trade platform for small & medium businesses in India, we bring traders, wholesalers, distributors, retailers and manufacturers in India on to a single platform. 

Founders Profile:

Amod Malviya: Alumnus of IIT Kharagpur. Ex CTO at Flipkart. He was responsible for building Flipkart's Tech stack across functions from scratch. He is one of the most renowned leaders in the tech space in India, and is a major proponent of Open source.

Sujeet Kumar: Alumnus of IIT Delhi. Ex-President (COO) at Flipkart. Third Employee at Flipkart and established the business from scratch. He led business, and supply chain and was responsible for introducing COD in India and also set up Flipkart's own supply chain network Ekart

Vaibhav Gupta: An alumnus of IIT Delhi and Darden School of Business. Ex McKinsey and Ex SVP Finance, Analytics and Strategy at Flipkart. Led Product, Supply chain, business finance and strategy. Was responsible for fund raising.
","
No. 1090, 18th Cross, 14th Main, Sector 3, HSR Layout, Bangalore
","
StartUp
",Bangalore,158,Udaan,India,"
Between 500 to 1000
","
Self
","
Ecommerce
",,www.udaan.com,560102
"
About Udaan:
UDAAN is about making business easy in India, about making B2B commerce convenient and efficient. We believe B2B is the new B2C in India.
India has 50m+ SMBs, who form core of Indian economy and society. They are the entrepreneurial pulse of India. We believe internet is a great equalizing platform and aspire to bring our energies together in the bringing power of Internet to these millions of entrepreneurs.
At Udaan we are looking to create a fundamentally disruptive value proposition for small and medium businesses across India. We are a B2B trade platform for small & medium businesses in India, we bring traders, wholesalers, distributors, retailers and manufacturers in India on to a single platform. 

Founders Profile:

Amod Malviya: Alumnus of IIT Kharagpur. Ex CTO at Flipkart. He was responsible for building Flipkart's Tech stack across functions from scratch. He is one of the most renowned leaders in the tech space in India, and is a major proponent of Open source.

Sujeet Kumar: Alumnus of IIT Delhi. Ex-President (COO) at Flipkart. Third Employee at Flipkart and established the business from scratch. He led business, and supply chain and was responsible for introducing COD in India and also set up Flipkart's own supply chain network Ekart

Vaibhav Gupta: An alumnus of IIT Delhi and Darden School of Business. Ex McKinsey and Ex SVP Finance, Analytics and Strategy at Flipkart. Led Product, Supply chain, business finance and strategy. Was responsible for fund raising.
","
No. 1090, 18th Cross, 14th Main, Sector 3, HSR Layout, Bangalore
","
StartUp
",Bangalore,158,Udaan,India,"
Between 500 to 1000
","
Self
","
Ecommerce
",,www.udaan.com,560102
"
Zilingo is an e-commerce platform that enables businesses across the fashion and beauty value chain to be more efficient and scale faster by connecting them with everything they need under a single technology platform - sourcing, selling wholesale or retail, marketing services, software and financial services.

Our mission of transforming the supply-chain using technology is driven by our culture of constant innovation, fuelled by an amazing team of engineers, data scientists, and designers. We're always on the lookout to recruit the best tech talent from around the world.

Zilingo was founded in 2015 by Ankiti Bose and Dhruv Kapoor, and our family has grown to include more than 850 employees from 17 nationalities working out of our 10 global offices. We currently serve 50,000+ merchants and 4000+ factories, across 17 countries. Already a Unicorn, our recent series-D round funding was covered extensively by the media (TechCrunch, Inc42, YourStory, etc.) across geographies.
","
Zilingo Funline Private Limited, 2nd Floor, HM Vibha Towers, Chikku Laksmaiah layout, Adugodi,Hosur Road, Bangalore, Karnataka - 560030
","
StartUp
",Bengaluru,529,Zilingo Funline Private Limited,India,"
Between 500 to 1000
","
Self
","
Ecommerce
",,www.zilingo.com,560030
"
ZS is a professional services firm that works side by side with companies to help develop and deliver products that drive customer value and company results. From R&D to portfolio strategy, customer insights, marketing and sales strategy, operations and technology, we leverage our deep industry expertise and leading-edge analytics to create solutions that work in the real world. Our most asset is our peoplea fact thats reflected in our values-driven organization in which new perspectives are integral and new ideas are celebrated. ZSers are passionately committed to helping companies and their customers thrive in industries ranging from healthcare and life sciences, to high-tech, financial services, travel and transportation, and beyond.
","
World Trade Centre, Tower 3, Kharadi
","
MNC
",Pune,306,ZS Associates,India,"
>5000
","
Alumini Contact
","
Analytics
","
>5000
",www.zs.com,411014
,"
26/1, Brigade Gateway, Dr Rajkumar Rd, Malleshwaram West, Bengaluru, Karnataka 560055
","
Private
",Bangalore,18,Amazon India,India,"
>5000
","
Self
","
IT/Software
",,https://www.amazon.jobs/,560055
"
About ARTH
Company Profile
Since Inception, The Team At Arth has Been Disrupting Industry Practices Through a Comprehensive Suite of Services for Digital Transformation, Introducing Innovative Solutions for Better Efficacy & Productivity in the Construction Processes. We are focused on identifying and solving the Productivity & Sustainability challenges faced by the construction Industry. We are a Tata Projects Invested company. 
Established by Visionaries
	Started by IIT KGP alumni in 2014 to address existing and anticipated productivity gaps. 
Strengthened by Experts
	Solutions and Products developed and validated by IITs & IIMs Alumni having an impeccable professional track record in Global Markets. 
Propelled by Innovation
	Regular Infusion of Fresh Energy & Innovative Outlook by Highly Skilled Resources from Premier Institutes
We have delivered over 50 million sq ft for 125 Projects done in 30 Different cities across the globe.
Currently, we are present in Hyderabad, Bangalore, Dubai, Singapore, USA, Thailand & Vietnam.
Solution - LivBIM
LivBIM is a construction management software designed by and for Construction Professionals which aims to make construction Simple & Efficient. As the name LivBIM suggests, this software enables our users to make the most of Building Information modeling (BIM) and Construction Planning inputs, by enabling live tracking and visibility facilitating informed decisions. 
LivBIM disrupts the disconnect that exists between the various construction stages and the stakeholders. It interconnects all the construction activity data, bringing it in one place and thus making it easy to identify errors and carry out deep data analysis.
This software has a mobile as well as a desktop interface that interconnects onsite personnel, mid-level management and senior management facilitating seamless exchange of information and updates.
Category: Agility and Efficiency
","
Plot No: 564-A-26-III, Rd No: 92, Jubilee Hils,
","
Private
",Hyderabad,246,Arth Design Build India Pvt Ltd,India,"
Between 100 to 500
","
Contacted by CDC
","
Core Engineering,IT/Software,Construction,Others
","
Between 50 to 100
",www.arthdesignbuild.com,500033
"
Axtria is a global provider of cloud software and data analytics to the Life Sciences industry. We help Life Sciences companies transform the product commercialization journey to drive sales growth and improve healthcare outcomes for patients. We are acutely aware that our work impacts millions of patients and lead passionately to improve their lives.
Since our founding in 2010, technology innovation has been our winning differentiation, and we continue to leapfrog competition with platforms that deploy Artificial Intelligence and Machine Learning. Our cloud-based platforms - Axtria DataMax, Axtria InsightsIQ, Axtria SalesIQ, and Axtria MarketingIQ - enable customers to efficiently manage data, leverage data science to deliver insights for sales and marketing planning, and manage end-to-end commercial operations. With customers in over 20 countries, Axtria is one of the biggest global commercial solutions providers in the Life Sciences industry. We continue to win industry recognition for growth and are featured in some of the most aspirational lists - INC 5000, Deloitte FAST 500, NJBiz FAST 50, SmartCEO Future 50, Red Herring 100, and several other growth and technology awards.
","
SEZ, DLF CyberCity, Bldg. 14, Tower B, 11th Floor & Tower D, 12th Floor, 	DLF  III, Gurgaon, Haryana 122001
","
Private
",Gurgaon,71,Axtria India Pvt. Ltd.,India,"
Between 1000 to 5000
","
Self
","
Analytics,Consulting
",,www.axtria.com,122001
"
Delhivery is a third-party logistics service provider, operating in over 1,200 cities in India.[3] It was founded in 2011 by Sahil Barua, Mohit Tandon, Bhavesh Manglani, Suraj Saharan and Kapil Bharati is backed by funding from Tiger Global Management, Multiples, Carlyle Group, Fosun Group, Nexus Venture Partners. The Gurugram-based company has 30 fulfillment centres and over 2,500 delivery partners and 19 automated sorting centres that drive its operations.
","
Plot No 5, Sector 44 Gurgaon, Haryana
","
StartUp
",Gurgaon,78,Delhivery,India,"
>5000
","
Self
","
Others
","
Between 1000 to 5000
",https://www.delhivery.com/,122002
,"
genpact, DLF Phase 5, Golf Course Road,Sector 53, Gurgaon
","
MNC
",Gurgaon,296,Genpact,India,"
>5000
","
Contacted by CDC
","
IT/Software
","
>5000
",www.genpact.com,122001
"
HSBC is one of the largest banking and financial services organizations in the world having an international network comprises over 9,500 offices in 76 countries and territories in Europe, the Asia-Pacific region, the Americas, the Middle East and Africa
","
HSBC Technology and Services - Service Delivery, RMZ Futura I, Bannerghatta Main Road
","
MNC
",Bangalore,462,HSBC,India,"
>5000
","
Self
","
Finance
","
>5000
",http://www.hsbcservicedelivery.com; http://www.hsbcglobalresourcing.com,560076
"
Building the software platform for Enterprise Data Operations & Orchestration for Cloud and Hybrid platforms
","
Frontline Grandeur, No. 14, Third Floor, Walton Road
","
Private,StartUp
",Bangalore,378,Infoworks Data Pvt Ltd,India,"
Between 100 to 500
","
Contacted by CDC
","
Core Engineering,IT/Software
",,www.infoworks.io,560001
"
Quantiphi is a category defining Applied AI and Machine Learning software and services company focused on helping organizations translate the big promise of Big Data & Machine Learning technologies into quantifiable business impact.
","
Level 2, Eureka Towers, Mindspace, Link Road, Malad (W), Mumbai, Maharashtra - 400064
","
Private
",Mumbai,191,Quantiphi Analytics Solutions Pvt. Ltd.,India,"
Between 500 to 1000
","
Self
","
Others
",,www.quantiphi.com,400064
